Secciones de la CNAE-09;Componentes del coste;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T4;3.258,14
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T3;3.020,71
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T2;3.161,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T1;3.009,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T4;3.145,99
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T3;2.892,73
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T2;3.037,52
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T1;2.897,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T4;2.996,63
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T3;2.754,75
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T2;2.871,64
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T1;2.729,01
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T4;2.874,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T3;2.648,87
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T2;2.766,39
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T1;2.605,61
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2020T4;2.752,26
