Tipo de jornada;Secciones de la CNAE-09;Tiempo de trabajo;Periodo;Total
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2024T4;151,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2024T3;153,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2024T2;151,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2024T1;150,8
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2023T4;151,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2023T3;153,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2023T2;151,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2023T1;150,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2022T4;151,3
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2022T3;153,4
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2022T2;151
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2022T1;150,5
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2021T4;150,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2021T3;152,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2021T2;150,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2021T1;150,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2020T4;150,1
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2020T3;151,6
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2020T2;149,7
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2020T1;148,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2019T4;149,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2019T3;151,2
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2019T2;148,9
Ambas jornadas;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas pactadas;2019T1;148,6
