Tamaño del establecimiento;Periodo;Total
Total;2024T4;148.018
Total;2024T3;150.541
Total;2024T2;151.379
Total;2024T1;149.962
Total;2023T4;139.314
Total;2023T3;155.797
Total;2023T2;148.091
Total;2023T1;149.645
Total;2022T4;140.517
Total;2022T3;143.876
Total;2022T2;145.053
Total;2022T1;133.988
Total;2021T4;109.085
Total;2021T3;118.888
Total;2021T2;119.212
Total;2021T1;100.041
Total;2020T4;76.007
Total;2020T3;86.750
Total;2020T2;74.346
Total;2020T1;103.005
Total;2019T4;101.009
Total;2019T3;104.182
Total;2019T2;107.531
Total;2019T1;98.745
Total;2018T4;91.101
Total;2018T3;96.887
Total;2018T2;98.493
Total;2018T1;101.512
Total;2017T4;74.737
Total;2017T3;82.546
Total;2017T2;82.826
Total;2017T1;78.356
Total;2016T4;67.464
Total;2016T3;68.057
Total;2016T2;75.852
Total;2016T1;69.028
Total;2015T4;58.868
Total;2015T3;62.172
Total;2015T2;60.103
Total;2015T1;58.707
Total;2014T4;56.269
Total;2014T3;57.660
Total;2014T2;55.238
Total;2014T1;54.965
Total;2013T4;53.909
Total;2013T3;72.790
De 1 a 49;2024T4;51.092
De 1 a 49;2024T3;59.988
De 1 a 49;2024T2;50.228
De 1 a 49;2024T1;53.357
De 1 a 49;2023T4;47.659
De 1 a 49;2023T3;58.523
De 1 a 49;2023T2;56.439
De 1 a 49;2023T1;55.141
De 1 a 49;2022T4;50.342
De 1 a 49;2022T3;59.668
De 1 a 49;2022T2;54.599
De 1 a 49;2022T1;51.610
De 1 a 49;2021T4;45.095
De 1 a 49;2021T3;50.977
De 1 a 49;2021T2;56.407
De 1 a 49;2021T1;42.160
De 1 a 49;2020T4;32.360
De 1 a 49;2020T3;35.884
De 1 a 49;2020T2;30.366
De 1 a 49;2020T1;43.365
De 1 a 49;2019T4;36.465
De 1 a 49;2019T3;41.982
De 1 a 49;2019T2;46.981
De 1 a 49;2019T1;41.965
De 1 a 49;2018T4;36.741
De 1 a 49;2018T3;40.425
De 1 a 49;2018T2;38.713
De 1 a 49;2018T1;40.554
De 1 a 49;2017T4;24.644
De 1 a 49;2017T3;32.466
De 1 a 49;2017T2;31.151
De 1 a 49;2017T1;31.747
De 1 a 49;2016T4;27.330
De 1 a 49;2016T3;26.987
De 1 a 49;2016T2;28.976
De 1 a 49;2016T1;28.792
De 1 a 49;2015T4;24.770
De 1 a 49;2015T3;28.344
De 1 a 49;2015T2;26.407
De 1 a 49;2015T1;27.113
De 1 a 49;2014T4;28.644
De 1 a 49;2014T3;30.442
De 1 a 49;2014T2;28.200
De 1 a 49;2014T1;28.265
De 1 a 49;2013T4;28.859
De 1 a 49;2013T3;40.641
De 50 a 199;2024T4;43.074
De 50 a 199;2024T3;38.443
De 50 a 199;2024T2;47.462
De 50 a 199;2024T1;41.255
De 50 a 199;2023T4;44.306
De 50 a 199;2023T3;46.253
De 50 a 199;2023T2;40.441
De 50 a 199;2023T1;43.918
De 50 a 199;2022T4;38.858
De 50 a 199;2022T3;38.203
De 50 a 199;2022T2;38.965
De 50 a 199;2022T1;38.183
De 50 a 199;2021T4;27.544
De 50 a 199;2021T3;32.131
De 50 a 199;2021T2;25.824
De 50 a 199;2021T1;23.200
De 50 a 199;2020T4;16.324
De 50 a 199;2020T3;17.987
De 50 a 199;2020T2;13.086
De 50 a 199;2020T1;22.396
De 50 a 199;2019T4;26.816
De 50 a 199;2019T3;24.349
De 50 a 199;2019T2;23.540
De 50 a 199;2019T1;23.468
De 50 a 199;2018T4;20.081
De 50 a 199;2018T3;23.655
De 50 a 199;2018T2;23.561
De 50 a 199;2018T1;24.671
De 50 a 199;2017T4;18.484
De 50 a 199;2017T3;18.933
De 50 a 199;2017T2;20.305
De 50 a 199;2017T1;18.045
De 50 a 199;2016T4;14.075
De 50 a 199;2016T3;17.529
De 50 a 199;2016T2;21.784
De 50 a 199;2016T1;16.616
De 50 a 199;2015T4;13.900
De 50 a 199;2015T3;13.188
De 50 a 199;2015T2;13.813
De 50 a 199;2015T1;12.117
De 50 a 199;2014T4;9.528
De 50 a 199;2014T3;9.894
De 50 a 199;2014T2;9.616
De 50 a 199;2014T1;10.107
De 50 a 199;2013T4;10.135
De 50 a 199;2013T3;12.058
De 200 o más;2024T4;53.853
De 200 o más;2024T3;52.109
De 200 o más;2024T2;53.688
De 200 o más;2024T1;55.351
De 200 o más;2023T4;47.348
De 200 o más;2023T3;51.021
De 200 o más;2023T2;51.211
De 200 o más;2023T1;50.586
De 200 o más;2022T4;51.317
De 200 o más;2022T3;46.005
De 200 o más;2022T2;51.489
De 200 o más;2022T1;44.195
De 200 o más;2021T4;36.447
De 200 o más;2021T3;35.780
De 200 o más;2021T2;36.980
De 200 o más;2021T1;34.681
De 200 o más;2020T4;27.323
De 200 o más;2020T3;32.880
De 200 o más;2020T2;30.894
De 200 o más;2020T1;37.244
De 200 o más;2019T4;37.728
De 200 o más;2019T3;37.852
De 200 o más;2019T2;37.010
De 200 o más;2019T1;33.312
De 200 o más;2018T4;34.280
De 200 o más;2018T3;32.807
De 200 o más;2018T2;36.219
De 200 o más;2018T1;36.287
De 200 o más;2017T4;31.610
De 200 o más;2017T3;31.147
De 200 o más;2017T2;31.370
De 200 o más;2017T1;28.563
De 200 o más;2016T4;26.059
De 200 o más;2016T3;23.540
De 200 o más;2016T2;25.092
De 200 o más;2016T1;23.620
De 200 o más;2015T4;20.198
De 200 o más;2015T3;20.640
De 200 o más;2015T2;19.883
De 200 o más;2015T1;19.477
De 200 o más;2014T4;18.097
De 200 o más;2014T3;17.325
De 200 o más;2014T2;17.422
De 200 o más;2014T1;16.594
De 200 o más;2013T4;14.915
De 200 o más;2013T3;20.091
