Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2024T4;19,35
Total Nacional;2024T3;18,83
Total Nacional;2024T2;19,51
Total Nacional;2024T1;19,36
Total Nacional;2023T4;18,52
Total Nacional;2023T3;17,99
Total Nacional;2023T2;18,55
Total Nacional;2023T1;19,12
Total Nacional;2022T4;17,92
Total Nacional;2022T3;17,43
Total Nacional;2022T2;17,88
Total Nacional;2022T1;17,89
Total Nacional;2021T4;17,32
Total Nacional;2021T3;16,72
Total Nacional;2021T2;17,45
Total Nacional;2021T1;17,46
Total Nacional;2020T4;17,43
Total Nacional;2020T3;16,49
Total Nacional;2020T2;17,96
Total Nacional;2020T1;16,69
Total Nacional;2019T4;16,12
Total Nacional;2019T3;15,36
Total Nacional;2019T2;15,82
Total Nacional;2019T1;16,34
Total Nacional;2018T4;15,62
Total Nacional;2018T3;15,74
Total Nacional;2018T2;15,99
Total Nacional;2018T1;16,1
Total Nacional;2017T4;16,02
Total Nacional;2017T3;15,18
Total Nacional;2017T2;16,05
Total Nacional;2017T1;16,04
Total Nacional;2016T4;16,1
Total Nacional;2016T3;15,24
Total Nacional;2016T2;16,24
Total Nacional;2016T1;16,01
Total Nacional;2015T4;15,72
Total Nacional;2015T3;15,4
Total Nacional;2015T2;15,83
Total Nacional;2015T1;16,22
Total Nacional;2014T4;15,64
Total Nacional;2014T3;15,4
Total Nacional;2014T2;16,47
Total Nacional;2014T1;17,73
Total Nacional;2013T4;16,05
Total Nacional;2013T3;16,16
Total Nacional;2013T2;16,56
Total Nacional;2013T1;16,79
Total Nacional;2012T4;16,04
Total Nacional;2012T3;15,52
Total Nacional;2012T2;15,82
Total Nacional;2012T1;15,95
Total Nacional;2011T4;15,71
Total Nacional;2011T3;15,44
Total Nacional;2011T2;15,63
Total Nacional;2011T1;15,98
Total Nacional;2010T4;16,18
Total Nacional;2010T3;15,06
Total Nacional;2010T2;15,89
Total Nacional;2010T1;16,34
Total Nacional;2009T4;15,78
Total Nacional;2009T3;15,26
Total Nacional;2009T2;15,42
Total Nacional;2009T1;15,96
Total Nacional;2008T4;15,67
Total Nacional;2008T3;15,48
Total Nacional;2008T2;15,49
Total Nacional;2008T1;15,35
01 Andalucía;2024T4;17,97
01 Andalucía;2024T3;17,64
01 Andalucía;2024T2;19,18
01 Andalucía;2024T1;18,78
01 Andalucía;2023T4;19,14
01 Andalucía;2023T3;19,11
01 Andalucía;2023T2;18,17
01 Andalucía;2023T1;20,66
01 Andalucía;2022T4;18,55
01 Andalucía;2022T3;19,24
01 Andalucía;2022T2;18,58
01 Andalucía;2022T1;16,74
