Comunidades y Ciudades Autónomas;Sectores de actividad CNAE 2009;Componentes del coste;Periodo;Total
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T4;3.258,14
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T3;3.020,71
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T2;3.161,6
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2024T1;3.009,87
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T4;3.145,99
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T3;2.892,73
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T2;3.037,52
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2023T1;2.897,87
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T4;2.996,63
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T3;2.754,75
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T2;2.871,64
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2022T1;2.729,01
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T4;2.874,61
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T3;2.648,87
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T2;2.766,39
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2021T1;2.605,61
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2020T4;2.752,26
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2020T3;2.525,41
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2020T2;2.442,91
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2020T1;2.570,32
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2019T4;2.755,15
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2019T3;2.553,62
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2019T2;2.664,55
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2019T1;2.550,27
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2018T4;2.692,52
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2018T3;2.499,87
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2018T2;2.602,01
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2018T1;2.497,91
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2017T4;2.668,84
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2017T3;2.454,27
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2017T2;2.584,58
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2017T1;2.481,75
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2016T4;2.649,97
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2016T3;2.444,8
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2016T2;2.589,08
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2016T1;2.481,51
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2015T4;2.671,39
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2015T3;2.456,46
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2015T2;2.591,5
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2015T1;2.487,44
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2014T4;2.638,8
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2014T3;2.450,1
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2014T2;2.580,64
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2014T1;2.474,4
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2013T4;2.652,44
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2013T3;2.460,64
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2013T2;2.583,24
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2013T1;2.480,22
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2012T4;2.598,69
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2012T3;2.455,49
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2012T2;2.591,8
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2012T1;2.515,04
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2011T4;2.683,86
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2011T3;2.456,91
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2011T2;2.599,79
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2011T1;2.486,6
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2010T4;2.642,17
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2010T3;2.421,49
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2010T2;2.578,11
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2010T1;2.466,11
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2009T4;2.649,13
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2009T3;2.428,91
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2009T2;2.548,69
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2009T1;2.440,54
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2008T4;2.583,82
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2008T3;2.350,17
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2008T2;2.451,4
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste laboral total;2008T1;2.342,28
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2024T4;2.442,32
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2024T3;2.205,43
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2024T2;2.353,59
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2024T1;2.206,06
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2023T4;2.359,38
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2023T3;2.117,8
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2023T2;2.262,63
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2023T1;2.126,63
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2022T4;2.268
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2022T3;2.032,05
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2022T2;2.153,88
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2022T1;2.006,61
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2021T4;2.165,79
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2021T3;1.952,37
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2021T2;2.064,37
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2021T1;1.907,82
Total Nacional;B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Coste salarial total;2020T4;2.061,32
