Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2024T4;3.258,14
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2024T3;3.020,71
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2024T2;3.161,6
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2024T1;3.009,87
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2023T4;3.145,99
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2023T3;2.892,73
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2023T2;3.037,52
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2023T1;2.897,87
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2022T4;2.996,63
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2022T3;2.754,75
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2022T2;2.871,64
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2022T1;2.729,01
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2021T4;2.874,61
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2021T3;2.648,87
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2021T2;2.766,39
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2021T1;2.605,61
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2020T4;2.752,26
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2020T3;2.525,41
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2020T2;2.442,91
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2020T1;2.570,32
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2019T4;2.755,15
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2019T3;2.553,62
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2019T2;2.664,55
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2019T1;2.550,27
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2018T4;2.692,52
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2018T3;2.499,87
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2018T2;2.602,01
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2018T1;2.497,91
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2017T4;2.668,84
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2017T3;2.454,27
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2017T2;2.584,58
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2017T1;2.481,75
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2016T4;2.649,97
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2016T3;2.444,8
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2016T2;2.589,08
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2016T1;2.481,51
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2015T4;2.671,39
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2015T3;2.456,46
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2015T2;2.591,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2015T1;2.487,44
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Euros;2014T4;2.638,8
