Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2024T4;25,63
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2024T3;25,08
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2024T2;23,68
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2024T1;23,1
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2023T4;24,98
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2023T3;23,8
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2023T2;23,22
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2023T1;21,51
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2022T4;23,55
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2022T3;22,55
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2022T2;21,8
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2022T1;20,64
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2021T4;22,72
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2021T3;21,89
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2021T2;21,68
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2021T1;20,63
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2020T4;22,66
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2020T3;21,95
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2020T2;22,86
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2020T1;19,93
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2019T4;21,56
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2019T3;21,11
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2019T2;20,43
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2019T1;19,01
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2018T4;21,14
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2018T3;20,62
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2018T2;19,29
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2018T1;19,01
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2017T4;21,04
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2017T3;20,11
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2017T2;19,67
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2017T1;18,32
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2016T4;20,79
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2016T3;20,19
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2016T2;18,95
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2016T1;19,14
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2015T4;20,66
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2015T3;20,19
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2015T2;19,71
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2015T1;18,56
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2014T4;20,34
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2014T3;20,28
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2014T2;19,67
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2014T1;18,34
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2013T4;20,58
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2013T3;20,3
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2013T2;19
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2013T1;18,68
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2012T4;20,22
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2012T3;20,2
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2012T2;19,47
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2012T1;18,29
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2011T4;20,68
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2011T3;20,2
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2011T2;19,34
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2011T1;18,03
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2010T4;20,18
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2010T3;19,28
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2010T2;19,05
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2010T1;18,03
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2009T4;19,96
Datos no ajustados de estacionalidad y calendario;Coste laboral total por hora;Euros;2009T3;19,55
