Comunidades y Ciudades Autónomas;Componentes del coste;Tipo de dato;Periodo;Total
Total Nacional;Coste total por trabajador;Euros;2024T4;3.258,14
Total Nacional;Coste total por trabajador;Euros;2024T3;3.020,71
Total Nacional;Coste total por trabajador;Euros;2024T2;3.161,6
Total Nacional;Coste total por trabajador;Euros;2024T1;3.009,87
Total Nacional;Coste total por trabajador;Euros;2023T4;3.145,99
Total Nacional;Coste total por trabajador;Euros;2023T3;2.892,73
Total Nacional;Coste total por trabajador;Euros;2023T2;3.037,52
Total Nacional;Coste total por trabajador;Euros;2023T1;2.897,87
Total Nacional;Coste total por trabajador;Euros;2022T4;2.996,63
Total Nacional;Coste total por trabajador;Euros;2022T3;2.754,75
Total Nacional;Coste total por trabajador;Euros;2022T2;2.871,64
Total Nacional;Coste total por trabajador;Euros;2022T1;2.729,01
Total Nacional;Coste total por trabajador;Euros;2021T4;2.874,61
Total Nacional;Coste total por trabajador;Euros;2021T3;2.648,87
Total Nacional;Coste total por trabajador;Euros;2021T2;2.766,39
Total Nacional;Coste total por trabajador;Euros;2021T1;2.605,61
Total Nacional;Coste total por trabajador;Euros;2020T4;2.752,26
Total Nacional;Coste total por trabajador;Euros;2020T3;2.525,41
Total Nacional;Coste total por trabajador;Euros;2020T2;2.442,91
Total Nacional;Coste total por trabajador;Euros;2020T1;2.570,32
Total Nacional;Coste total por trabajador;Euros;2019T4;2.755,15
Total Nacional;Coste total por trabajador;Euros;2019T3;2.553,62
Total Nacional;Coste total por trabajador;Euros;2019T2;2.664,55
Total Nacional;Coste total por trabajador;Euros;2019T1;2.550,27
Total Nacional;Coste total por trabajador;Euros;2018T4;2.692,52
Total Nacional;Coste total por trabajador;Euros;2018T3;2.499,87
Total Nacional;Coste total por trabajador;Euros;2018T2;2.602,01
Total Nacional;Coste total por trabajador;Euros;2018T1;2.497,91
Total Nacional;Coste total por trabajador;Euros;2017T4;2.668,84
Total Nacional;Coste total por trabajador;Euros;2017T3;2.454,27
Total Nacional;Coste total por trabajador;Euros;2017T2;2.584,58
Total Nacional;Coste total por trabajador;Euros;2017T1;2.481,75
Total Nacional;Coste total por trabajador;Euros;2016T4;2.649,97
Total Nacional;Coste total por trabajador;Euros;2016T3;2.444,8
Total Nacional;Coste total por trabajador;Euros;2016T2;2.589,08
Total Nacional;Coste total por trabajador;Euros;2016T1;2.481,51
Total Nacional;Coste total por trabajador;Euros;2015T4;2.671,39
Total Nacional;Coste total por trabajador;Euros;2015T3;2.456,46
Total Nacional;Coste total por trabajador;Euros;2015T2;2.591,5
Total Nacional;Coste total por trabajador;Euros;2015T1;2.487,44
Total Nacional;Coste total por trabajador;Euros;2014T4;2.638,8
Total Nacional;Coste total por trabajador;Euros;2014T3;2.450,1
Total Nacional;Coste total por trabajador;Euros;2014T2;2.580,64
Total Nacional;Coste total por trabajador;Euros;2014T1;2.474,4
Total Nacional;Coste total por trabajador;Euros;2013T4;2.652,44
Total Nacional;Coste total por trabajador;Euros;2013T3;2.460,64
Total Nacional;Coste total por trabajador;Euros;2013T2;2.583,24
Total Nacional;Coste total por trabajador;Euros;2013T1;2.480,22
Total Nacional;Coste total por trabajador;Euros;2012T4;2.598,69
Total Nacional;Coste total por trabajador;Euros;2012T3;2.455,49
Total Nacional;Coste total por trabajador;Euros;2012T2;2.591,8
Total Nacional;Coste total por trabajador;Euros;2012T1;2.515,04
Total Nacional;Coste total por trabajador;Euros;2011T4;2.683,86
Total Nacional;Coste total por trabajador;Euros;2011T3;2.456,91
Total Nacional;Coste total por trabajador;Euros;2011T2;2.599,79
Total Nacional;Coste total por trabajador;Euros;2011T1;2.486,6
Total Nacional;Coste total por trabajador;Euros;2010T4;2.642,17
Total Nacional;Coste total por trabajador;Euros;2010T3;2.421,49
Total Nacional;Coste total por trabajador;Euros;2010T2;2.578,11
Total Nacional;Coste total por trabajador;Euros;2010T1;2.466,11
Total Nacional;Coste total por trabajador;Euros;2009T4;2.649,13
Total Nacional;Coste total por trabajador;Euros;2009T3;2.428,91
Total Nacional;Coste total por trabajador;Euros;2009T2;2.548,69
Total Nacional;Coste total por trabajador;Euros;2009T1;2.440,54
Total Nacional;Coste total por trabajador;Euros;2008T4;2.583,82
Total Nacional;Coste total por trabajador;Euros;2008T3;2.350,17
Total Nacional;Coste total por trabajador;Euros;2008T2;2.451,4
Total Nacional;Coste total por trabajador;Euros;2008T1;2.342,28
Total Nacional;Coste total por trabajador;Euros;2007T4;2.459,71
Total Nacional;Coste total por trabajador;Euros;2007T3;2.242,03
Total Nacional;Coste total por trabajador;Euros;2007T2;2.339,64
Total Nacional;Coste total por trabajador;Euros;2007T1;2.239,53
Total Nacional;Coste total por trabajador;Euros;2006T4;2.358,85
Total Nacional;Coste total por trabajador;Euros;2006T3;2.152,88
Total Nacional;Coste total por trabajador;Euros;2006T2;2.254,38
Total Nacional;Coste total por trabajador;Euros;2006T1;2.154,32
Total Nacional;Coste total por trabajador;Euros;2005T4;2.251,93
Total Nacional;Coste total por trabajador;Euros;2005T3;2.055,75
Total Nacional;Coste total por trabajador;Euros;2005T2;2.141,24
Total Nacional;Coste total por trabajador;Euros;2005T1;2.063,93
Total Nacional;Coste total por trabajador;Euros;2004T4;2.189
Total Nacional;Coste total por trabajador;Euros;2004T3;2.006,72
Total Nacional;Coste total por trabajador;Euros;2004T2;2.067,86
Total Nacional;Coste total por trabajador;Euros;2004T1;2.016,58
Total Nacional;Coste total por trabajador;Euros;2003T4;2.134,67
Total Nacional;Coste total por trabajador;Euros;2003T3;1.960,87
Total Nacional;Coste total por trabajador;Euros;2003T2;1.999,46
Total Nacional;Coste total por trabajador;Euros;2003T1;1.940,05
Total Nacional;Coste total por trabajador;Euros;2002T4;2.052,2
Total Nacional;Coste total por trabajador;Euros;2002T3;1.888,12
Total Nacional;Coste total por trabajador;Euros;2002T2;1.907,5
Total Nacional;Coste total por trabajador;Euros;2002T1;1.837,27
Total Nacional;Coste total por trabajador;Euros;2001T4;1.966,79
Total Nacional;Coste total por trabajador;Euros;2001T3;1.810,54
Total Nacional;Coste total por trabajador;Euros;2001T2;1.827,17
Total Nacional;Coste total por trabajador;Euros;2001T1;1.756,16
Total Nacional;Coste total por trabajador;Euros;2000T4;1.883,61
Total Nacional;Coste total por trabajador;Euros;2000T3;1.734,62
Total Nacional;Coste total por trabajador;Euros;2000T2;1.764,85
Total Nacional;Coste total por trabajador;Euros;2000T1;1.693,9
Total Nacional;Coste total por trabajador;Índice;2024T4;126,6
Total Nacional;Coste total por trabajador;Índice;2024T3;117,4
Total Nacional;Coste total por trabajador;Índice;2024T2;122,9
Total Nacional;Coste total por trabajador;Índice;2024T1;117
Total Nacional;Coste total por trabajador;Índice;2023T4;122,3
Total Nacional;Coste total por trabajador;Índice;2023T3;112,4
Total Nacional;Coste total por trabajador;Índice;2023T2;118,1
Total Nacional;Coste total por trabajador;Índice;2023T1;112,6
Total Nacional;Coste total por trabajador;Índice;2022T4;116,5
Total Nacional;Coste total por trabajador;Índice;2022T3;107,1
Total Nacional;Coste total por trabajador;Índice;2022T2;111,6
Total Nacional;Coste total por trabajador;Índice;2022T1;106,1
Total Nacional;Coste total por trabajador;Índice;2021T4;111,7
Total Nacional;Coste total por trabajador;Índice;2021T3;103
Total Nacional;Coste total por trabajador;Índice;2021T2;107,5
Total Nacional;Coste total por trabajador;Índice;2021T1;101,3
Total Nacional;Coste total por trabajador;Índice;2020T4;107
Total Nacional;Coste total por trabajador;Índice;2020T3;98,2
Total Nacional;Coste total por trabajador;Índice;2020T2;95
Total Nacional;Coste total por trabajador;Índice;2020T1;99,9
Total Nacional;Coste total por trabajador;Índice;2019T4;107,1
Total Nacional;Coste total por trabajador;Índice;2019T3;99,3
Total Nacional;Coste total por trabajador;Índice;2019T2;103,6
Total Nacional;Coste total por trabajador;Índice;2019T1;99,1
Total Nacional;Coste total por trabajador;Índice;2018T4;104,7
Total Nacional;Coste total por trabajador;Índice;2018T3;97,2
Total Nacional;Coste total por trabajador;Índice;2018T2;101,1
Total Nacional;Coste total por trabajador;Índice;2018T1;97,1
Total Nacional;Coste total por trabajador;Índice;2017T4;103,7
Total Nacional;Coste total por trabajador;Índice;2017T3;95,4
Total Nacional;Coste total por trabajador;Índice;2017T2;100,5
Total Nacional;Coste total por trabajador;Índice;2017T1;96,5
Total Nacional;Coste total por trabajador;Índice;2016T4;103
Total Nacional;Coste total por trabajador;Índice;2016T3;95
Total Nacional;Coste total por trabajador;Índice;2016T2;100,6
Total Nacional;Coste total por trabajador;Índice;2016T1;96,5
Total Nacional;Coste total por trabajador;Índice;2015T4;103,8
Total Nacional;Coste total por trabajador;Índice;2015T3;95,5
Total Nacional;Coste total por trabajador;Índice;2015T2;100,7
Total Nacional;Coste total por trabajador;Índice;2015T1;96,7
Total Nacional;Coste total por trabajador;Índice;2014T4;102,6
Total Nacional;Coste total por trabajador;Índice;2014T3;95,2
Total Nacional;Coste total por trabajador;Índice;2014T2;100,3
Total Nacional;Coste total por trabajador;Índice;2014T1;96,2
Total Nacional;Coste total por trabajador;Índice;2013T4;103,1
Total Nacional;Coste total por trabajador;Índice;2013T3;95,6
Total Nacional;Coste total por trabajador;Índice;2013T2;100,4
Total Nacional;Coste total por trabajador;Índice;2013T1;96,4
Total Nacional;Coste total por trabajador;Índice;2012T4;101
Total Nacional;Coste total por trabajador;Índice;2012T3;95,4
Total Nacional;Coste total por trabajador;Índice;2012T2;100,7
Total Nacional;Coste total por trabajador;Índice;2012T1;97,8
Total Nacional;Coste total por trabajador;Índice;2011T4;104,3
Total Nacional;Coste total por trabajador;Índice;2011T3;95,5
Total Nacional;Coste total por trabajador;Índice;2011T2;101,1
Total Nacional;Coste total por trabajador;Índice;2011T1;96,7
Total Nacional;Coste total por trabajador;Índice;2010T4;102,7
Total Nacional;Coste total por trabajador;Índice;2010T3;94,1
Total Nacional;Coste total por trabajador;Índice;2010T2;100,2
Total Nacional;Coste total por trabajador;Índice;2010T1;95,9
Total Nacional;Coste total por trabajador;Índice;2009T4;103
Total Nacional;Coste total por trabajador;Índice;2009T3;94,4
Total Nacional;Coste total por trabajador;Índice;2009T2;99,1
Total Nacional;Coste total por trabajador;Índice;2009T1;94,9
Total Nacional;Coste total por trabajador;Índice;2008T4;100,4
Total Nacional;Coste total por trabajador;Índice;2008T3;91,3
Total Nacional;Coste total por trabajador;Índice;2008T2;95,3
Total Nacional;Coste total por trabajador;Índice;2008T1;91
Total Nacional;Coste total por trabajador;Índice;2007T4;95,6
Total Nacional;Coste total por trabajador;Índice;2007T3;87,1
Total Nacional;Coste total por trabajador;Índice;2007T2;90,9
Total Nacional;Coste total por trabajador;Índice;2007T1;87
Total Nacional;Coste total por trabajador;Índice;2006T4;91,7
Total Nacional;Coste total por trabajador;Índice;2006T3;83,7
Total Nacional;Coste total por trabajador;Índice;2006T2;87,6
Total Nacional;Coste total por trabajador;Índice;2006T1;83,7
Total Nacional;Coste total por trabajador;Índice;2005T4;87,5
Total Nacional;Coste total por trabajador;Índice;2005T3;79,9
Total Nacional;Coste total por trabajador;Índice;2005T2;83,2
Total Nacional;Coste total por trabajador;Índice;2005T1;80,2
Total Nacional;Coste total por trabajador;Índice;2004T4;85,1
Total Nacional;Coste total por trabajador;Índice;2004T3;78
Total Nacional;Coste total por trabajador;Índice;2004T2;80,4
Total Nacional;Coste total por trabajador;Índice;2004T1;78,4
Total Nacional;Coste total por trabajador;Índice;2003T4;83
Total Nacional;Coste total por trabajador;Índice;2003T3;76,2
Total Nacional;Coste total por trabajador;Índice;2003T2;77,7
Total Nacional;Coste total por trabajador;Índice;2003T1;75,4
Total Nacional;Coste total por trabajador;Índice;2002T4;79,8
Total Nacional;Coste total por trabajador;Índice;2002T3;73,4
Total Nacional;Coste total por trabajador;Índice;2002T2;74,1
Total Nacional;Coste total por trabajador;Índice;2002T1;71,4
Total Nacional;Coste total por trabajador;Índice;2001T4;76,4
Total Nacional;Coste total por trabajador;Índice;2001T3;70,4
Total Nacional;Coste total por trabajador;Índice;2001T2;71
Total Nacional;Coste total por trabajador;Índice;2001T1;68,3
Total Nacional;Coste total por trabajador;Índice;2000T4;73,2
Total Nacional;Coste total por trabajador;Índice;2000T3;67,4
Total Nacional;Coste total por trabajador;Índice;2000T2;68,6
Total Nacional;Coste total por trabajador;Índice;2000T1;65,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2024T4;3,6
Total Nacional;Coste total por trabajador;Tasa de variación anual;2024T3;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2024T2;4,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2024T1;3,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2023T4;5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2023T3;5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2023T2;5,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2023T1;6,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2022T4;4,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2022T3;4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2022T2;3,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2022T1;4,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2021T4;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2021T3;4,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2021T2;13,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2021T1;1,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2020T4;-0,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2020T3;-1,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2020T2;-8,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2020T1;0,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2019T4;2,3
